variable,lo,hi,n_sig,n_bkg,counting_proxy_pct,fit_rel_uncertainty_pct
Zcand_p,-inf,55.0,27883.352072466143,28589.63635384985,0.8522664699621749,0.6916388572291742
Zcand_p,-inf,60.0,31713.218480467753,33828.23734948378,0.8072679720407008,0.651005048657482
Zcand_p,-inf,65.0,33954.08443528518,39156.58398817838,0.7963396738977305,0.6300814141176336
Zcand_p,-inf,70.0,35625.10911628662,44425.27040593863,0.7941919750725696,0.6165801062369353
Zcand_p,-inf,80.0,37655.45746365251,57031.6089506745,0.8171793860025147,0.5994393237264077
Zcand_p,-inf,inf,38408.56349237901,70879.57493202727,0.8607131727456967,0.595241091656612
Zcand_p,20.0,55.0,26800.300507101303,26572.593385289445,0.8620266883208931,0.7038311111950153
Zcand_p,20.0,60.0,30630.166915102393,31811.194380923844,0.815805854939542,0.6601779967686752
Zcand_p,20.0,65.0,32871.03286992258,37139.54101961843,0.8049491908936541,0.637968443924775
Zcand_p,20.0,70.0,34542.05755092086,42408.2274373777,0.8030764913302296,0.6218237037075913
Zcand_p,20.0,80.0,36572.405898288554,55014.565982114575,0.8274910762648099,0.607339735821694
Zcand_p,20.0,inf,37325.51192701611,68862.53196346902,0.8730357689541446,0.6053976995105232
Zcand_p,25.0,55.0,25842.263719917748,24779.873330086506,0.8706421397036352,0.7127809063789792
Zcand_p,25.0,60.0,29672.13012791978,30018.474325720825,0.8233874883330298,0.6655500483776757
Zcand_p,25.0,65.0,31912.99608274075,35346.82096441602,0.8126625787033804,0.6464274628938504
Zcand_p,25.0,70.0,33584.02076374032,40615.50738217476,0.8110878242870349,0.6319573041972628
Zcand_p,25.0,80.0,35614.36911110471,53221.84592691256,0.8368926773522597,0.6155869201231291
Zcand_p,25.0,inf,36367.475139833536,67069.81190826815,0.8843525044163796,0.6085022361530038
Zcand_p,30.0,55.0,24461.213792736376,22286.34433821679,0.8838965967656798,0.729794797285005
Zcand_p,30.0,60.0,28291.080200738943,27524.945333849864,0.8350835417300825,0.6818272975043116
Zcand_p,30.0,65.0,30531.946155556743,32853.291972546365,0.8245928700701309,0.6591561602141278
Zcand_p,30.0,70.0,32202.97083655907,38121.97839030434,0.8234908441807767,0.6426682328846013
Zcand_p,30.0,80.0,34233.31918392121,50728.31693504356,0.851456419512206,0.6256792146535683
Zcand_p,30.0,inf,34986.42521264892,64576.28291639987,0.9018800503469124,0.6208085277740805
Zcand_p,35.0,55.0,22603.139239099684,19037.623024091605,0.9027979726066618,0.7542963663327351
Zcand_p,35.0,60.0,26433.005647100537,24276.224019720597,0.8519163588598033,0.7018097347481197
Zcand_p,35.0,65.0,28673.871601920913,29604.570658418757,0.8419138059182865,0.6762065436912823
Zcand_p,35.0,70.0,30344.896282920046,34873.25707617586,0.8415861727179313,0.6585341766481335
Zcand_p,35.0,80.0,32375.2446302863,47479.59562091435,0.8728458752519599,0.6399511980718018
Zcand_p,35.0,inf,33128.35065901357,61327.56160227207,0.9277153851217962,0.6348195184883612
Zcand_p,40.0,55.0,20127.345584734547,15186.358324568562,0.9336522157154667,0.7924690375896224
Zcand_p,40.0,60.0,23957.211992736684,20424.959320196194,0.8793626122728387,0.7309538849722519
Zcand_p,40.0,65.0,26198.077947554622,25753.305958891975,0.8700197881402625,0.7037592632760659
Zcand_p,40.0,70.0,27869.10262855703,31021.992376649963,0.8707667352452613,0.6845553051146591
Zcand_p,40.0,80.0,29899.45097591964,43628.33092138659,0.9069065085779069,0.6634638120715131
Zcand_p,40.0,inf,30652.55700464781,57476.29690274439,0.9684837816662274,0.65619191887476
Zcand_p,45.0,55.0,16556.434578003937,10773.803421846509,0.9985156808124701,0.8630898575101464
Zcand_p,45.0,60.0,20386.30098600692,16012.40441747419,0.9358463196409422,0.7848403912599919
Zcand_p,45.0,65.0,22627.166940826886,21340.751056167453,0.9266970264702153,0.7501736394629255
Zcand_p,45.0,70.0,24298.191621827566,26609.437473925205,0.9285760603829657,0.7280832573739623
